"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 27, 2017","2,341.59","2,329.11","2,344.90","2,322.25","-","-0.10%"
"Mar 24, 2017","2,343.98","2,350.42","2,356.22","2,335.74","-","-0.08%"
"Mar 23, 2017","2,345.96","2,345.97","2,358.92","2,342.13","-","-0.11%"
"Mar 22, 2017","2,348.45","2,343.00","2,351.81","2,336.45","-","0.19%"
"Mar 21, 2017","2,344.02","2,379.32","2,381.93","2,341.90","-","-1.24%"
"Mar 20, 2017","2,373.47","2,378.24","2,379.55","2,369.66","-","-0.20%"
"Mar 17, 2017","2,378.25","2,383.71","2,385.71","2,377.64","-","-0.13%"
"Mar 16, 2017","2,381.38","2,387.71","2,388.10","2,377.18","-","-0.16%"
"Mar 15, 2017","2,385.26","2,370.34","2,390.01","2,368.94","-","0.84%"
"Mar 14, 2017","2,365.45","2,368.55","2,368.55","2,358.18","-","-0.34%"
"Mar 13, 2017","2,373.47","2,371.56","2,374.42","2,368.52","-","0.04%"
"Mar 10, 2017","2,372.60","2,372.52","2,376.86","2,363.04","-","0.33%"
"Mar 09, 2017","2,364.87","2,363.49","2,369.08","2,354.54","-","0.08%"
"Mar 08, 2017","2,362.98","2,369.81","2,373.09","2,361.01","-","-0.23%"
"Mar 07, 2017","2,368.39","2,370.74","2,375.12","2,365.51","-","-0.29%"
"Mar 06, 2017","2,375.31","2,375.23","2,378.80","2,367.98","-","-0.33%"
"Mar 03, 2017","2,383.12","2,380.92","2,383.89","2,375.39","-","0.05%"
"Mar 02, 2017","2,381.92","2,394.75","2,394.75","2,380.17","-","-0.59%"
"Mar 01, 2017","2,395.96","2,380.13","2,400.98","2,380.13","-","1.37%"
"Feb 28, 2017","2,363.64","2,366.08","2,367.79","2,358.96","-","-0.26%"
"Feb 27, 2017","2,369.75","2,365.23","2,371.54","2,361.87","-","0.10%"
"Feb 24, 2017","2,367.34","2,355.73","2,367.34","2,352.87","-","0.15%"
"Feb 23, 2017","2,363.81","2,367.50","2,368.26","2,355.09","-","0.04%"
"Feb 22, 2017","2,362.82","2,361.11","2,365.13","2,358.34","-","-0.11%"
"Feb 21, 2017","2,365.38","2,354.91","2,366.71","2,354.91","-","0.60%"
"Feb 17, 2017","2,351.16","2,343.01","2,351.16","2,339.58","-","0.17%"
"Feb 16, 2017","2,347.22","2,349.64","2,351.31","2,338.87","-","-0.09%"
"Feb 15, 2017","2,349.25","2,335.58","2,351.30","2,334.81","-","0.50%"
"Feb 14, 2017","2,337.58","2,326.12","2,337.58","2,322.17","-","0.40%"
"Feb 13, 2017","2,328.25","2,321.72","2,331.58","2,321.42","-","0.52%"
"Feb 10, 2017","2,316.10","2,312.27","2,319.23","2,311.10","-","0.36%"
"Feb 09, 2017","2,307.87","2,296.70","2,311.08","2,296.61","-","0.58%"
"Feb 08, 2017","2,294.67","2,289.55","2,295.91","2,285.38","-","0.07%"
"Feb 07, 2017","2,293.08","2,295.87","2,299.40","2,290.16","-","0.02%"
"Feb 06, 2017","2,292.56","2,294.28","2,296.18","2,288.57","-","-0.21%"
"Feb 03, 2017","2,297.42","2,288.54","2,298.31","2,287.88","-","0.73%"
"Feb 02, 2017","2,280.85","2,276.69","2,283.97","2,271.65","-","0.06%"
"Feb 01, 2017","2,279.55","2,285.59","2,289.14","2,272.44","-","0.03%"
"Jan 31, 2017","2,278.87","2,274.02","2,279.09","2,267.21","-","-0.09%"
"Jan 30, 2017","2,280.90","2,286.01","2,286.01","2,268.04","-","-0.60%"
"Jan 27, 2017","2,294.69","2,299.02","2,299.02","2,291.62","-","-0.09%"
"Jan 26, 2017","2,296.68","2,298.63","2,300.99","2,294.08","-","-0.07%"
"Jan 25, 2017","2,298.37","2,288.88","2,299.55","2,288.88","-","0.80%"
"Jan 24, 2017","2,280.07","2,267.88","2,284.63","2,266.68","-","0.66%"
"Jan 23, 2017","2,265.20","2,267.78","2,271.78","2,257.02","-","-0.27%"
"Jan 20, 2017","2,271.31","2,269.96","2,276.96","2,265.01","-","0.34%"
"Jan 19, 2017","2,263.69","2,271.90","2,274.33","2,258.41","-","-0.36%"
"Jan 18, 2017","2,271.89","2,269.14","2,272.01","2,263.35","-","0.18%"
"Jan 17, 2017","2,267.89","2,269.14","2,272.08","2,262.81","-","-0.30%"
"Jan 13, 2017","2,274.64","2,272.74","2,278.68","2,271.51","-","0.18%"
"Jan 12, 2017","2,270.44","2,271.14","2,271.78","2,254.25","-","-0.21%"
"Jan 11, 2017","2,275.32","2,268.60","2,275.32","2,260.83","-","0.28%"
"Jan 10, 2017","2,268.90","2,269.72","2,279.27","2,265.27","-","0.00%"
"Jan 09, 2017","2,268.90","2,273.59","2,275.49","2,268.90","-","-0.35%"
"Jan 06, 2017","2,276.98","2,271.14","2,282.10","2,264.06","-","0.35%"
"Jan 05, 2017","2,269.00","2,268.18","2,271.50","2,260.45","-","-0.08%"
"Jan 04, 2017","2,270.75","2,261.60","2,272.82","2,261.60","-","0.57%"
"Jan 03, 2017","2,257.83","2,251.57","2,263.88","2,245.13","-","0.85%"
"Dec 30, 2016","2,238.83","2,251.61","2,253.58","2,233.62","-","-0.46%"
"Dec 29, 2016","2,249.26","2,249.50","2,254.51","2,244.56","-","-0.03%"
"Dec 28, 2016","2,249.92","2,270.23","2,271.31","2,249.11","-","-0.84%"
"Dec 27, 2016","2,268.88","2,266.23","2,273.82","2,266.15","-","0.22%"
"Dec 23, 2016","2,263.79","2,260.25","2,263.79","2,258.84","-","0.13%"
"Dec 22, 2016","2,260.96","2,262.93","2,263.18","2,256.08","-","-0.19%"
"Dec 21, 2016","2,265.18","2,270.54","2,271.23","2,265.15","-","-0.25%"
"Dec 20, 2016","2,270.76","2,266.50","2,272.56","2,266.14","-","0.36%"
"Dec 19, 2016","2,262.53","2,259.24","2,267.47","2,258.21","-","0.20%"
"Dec 16, 2016","2,258.07","2,266.81","2,268.05","2,254.24","-","-0.18%"
"Dec 15, 2016","2,262.03","2,253.77","2,272.12","2,253.77","-","0.39%"
"Dec 14, 2016","2,253.28","2,268.35","2,276.20","2,248.44","-","-0.81%"
"Dec 13, 2016","2,271.72","2,263.32","2,277.53","2,263.32","-","0.65%"
"Dec 12, 2016","2,256.96","2,258.83","2,264.03","2,252.37","-","-0.11%"
"Dec 09, 2016","2,259.53","2,249.73","2,259.80","2,249.23","-","0.59%"
"Dec 08, 2016","2,246.19","2,241.13","2,251.69","2,237.57","-","0.22%"
"Dec 07, 2016","2,241.35","2,210.72","2,241.63","2,208.93","-","1.32%"
"Dec 06, 2016","2,212.23","2,207.26","2,212.78","2,202.21","-","0.34%"
"Dec 05, 2016","2,204.71","2,200.65","2,209.42","2,199.97","-","0.58%"
"Dec 02, 2016","2,191.95","2,191.12","2,197.95","2,188.37","-","0.04%"
"Dec 01, 2016","2,191.08","2,200.17","2,202.60","2,187.44","-","-0.35%"
"Nov 30, 2016","2,198.81","2,204.97","2,214.10","2,198.81","-","-0.27%"
"Nov 29, 2016","2,204.66","2,200.76","2,210.46","2,198.15","-","0.13%"
"Nov 28, 2016","2,201.72","2,210.21","2,211.14","2,200.36","-","-0.53%"
"Nov 25, 2016","2,213.35","2,206.27","2,213.35","2,206.27","-","0.39%"
"Nov 23, 2016","2,204.72","2,198.55","2,204.72","2,194.51","-","0.08%"
"Nov 22, 2016","2,202.94","2,201.56","2,204.80","2,194.51","-","0.22%"
"Nov 21, 2016","2,198.18","2,186.43","2,198.70","2,186.43","-","0.75%"
"Nov 18, 2016","2,181.90","2,186.85","2,189.89","2,180.38","-","-0.24%"
"Nov 17, 2016","2,187.12","2,178.61","2,188.06","2,176.65","-","0.47%"
"Nov 16, 2016","2,176.94","2,177.53","2,179.22","2,172.20","-","-0.16%"
"Nov 15, 2016","2,180.39","2,168.29","2,180.84","2,166.38","-","0.75%"
"Nov 14, 2016","2,164.20","2,165.64","2,171.36","2,156.08","-","-0.01%"
