date,length,pos,neg
2017-06-07,519,0.13398651252408478,0.046346820809248554
2017-06-08,515,0.1566718446601942,0.059394174757281565
2017-06-09,500,0.1366760000000001,0.036798000000000004
2017-06-10,500,0.11953800000000005,0.04418399999999998
2017-06-11,513,0.17529824561403523,0.037423001949317754
2017-06-12,512,0.1282480468750001,0.027425781249999996
2017-06-13,519,0.12092100192678235,0.04301348747591521
2017-06-14,517,0.15654738878143135,0.03569052224371373
2017-06-15,500,0.14391200000000007,0.06155200000000004
2017-06-16,500,0.14335800000000004,0.04201599999999999
2017-06-17,500,0.15170600000000004,0.041435999999999994
2017-06-18,500,0.166982,0.04376799999999999
2017-06-19,514,0.14454474708171217,0.03648249027237354
2017-06-20,500,0.124548,0.028018000000000008
2017-06-21,500,0.10989200000000007,0.027093999999999997
2017-06-22,500,0.1480940000000001,0.039242000000000006
2017-06-23,517,0.12597678916827854,0.03691295938104447
2017-06-24,516,0.1469612403100775,0.040141472868217044
2017-06-25,519,0.16166281310211955,0.03736608863198459
2017-06-26,500,0.12519800000000003,0.026065999999999992
2017-06-27,500,0.13656200000000002,0.04083199999999999
2017-06-28,500,0.15091200000000013,0.045585999999999995
2017-06-29,511,0.1419412915851273,0.023827788649706458
2017-06-30,517,0.15051063829787237,0.04160928433268858
2017-07-01,514,0.11908365758754866,0.0576225680933852
2017-07-02,500,0.13693800000000003,0.05474400000000001
2017-07-03,517,0.10216054158607357,0.03715280464216634
2017-07-04,500,0.1452180000000001,0.05389199999999999
2017-07-05,510,0.12951764705882354,0.05241372549019604
2017-07-06,509,0.10719842829076638,0.053638506876227884
2017-07-07,507,0.12881065088757396,0.04699605522682445
2017-07-08,518,0.16118918918918912,0.032511583011583016
2017-07-09,515,0.1491203883495145,0.03018640776699027
2017-07-10,515,0.10521553398058252,0.03897087378640776
2017-07-11,510,0.12963725490196082,0.07398235294117644
2017-07-12,513,0.13715204678362575,0.06273099415204668
2017-07-13,500,0.13127399999999995,0.04703200000000001
2017-07-14,500,0.13398600000000005,0.06963999999999997
2017-07-15,501,0.13133932135728538,0.06391816367265468
2017-07-16,518,0.09696525096525105,0.10598069498069491
2017-07-17,500,0.11128000000000007,0.03221399999999998
2017-07-18,517,0.09872340425531917,0.06744680851063835
2017-07-19,510,0.11874117647058836,0.043884313725490176
2017-07-20,504,0.13846626984126992,0.03537500000000001
2017-07-21,511,0.12529941291585125,0.04205283757338553
2017-07-22,513,0.12516764132553618,0.039621832358674475
2017-07-23,511,0.13767123287671237,0.04622113502935423
2017-07-24,507,0.11337672583826426,0.037145956607495055
2017-07-25,504,0.128781746031746,0.049827380952380956
2017-07-26,517,0.1312224371373309,0.06058413926499035
2017-07-27,505,0.126370297029703,0.06043366336633664
2017-07-28,517,0.15529400386847203,0.03857640232108315
2017-07-29,500,0.10111200000000001,0.04072199999999999
2017-07-30,508,0.11004133858267716,0.04693897637795275
2017-07-31,502,0.12948406374501997,0.056177290836653404
2017-08-01,513,0.1085769980506823,0.071598440545809
2017-08-02,506,0.1169940711462451,0.054689723320158125
2017-08-03,500,0.11492000000000006,0.05749600000000001
2017-08-04,500,0.108312,0.03956000000000001
2017-08-05,512,0.11898046875000005,0.04739257812499999
2017-08-06,508,0.1380925196850394,0.052539370078740134
2017-08-07,519,0.1091445086705203,0.036651252408477844
2017-08-08,500,0.10333000000000005,0.05235000000000001
2017-08-09,500,0.1294520000000001,0.02484999999999999
2017-08-10,519,0.10659922928709058,0.04825626204238919
2017-08-11,514,0.09885408560311285,0.0355272373540856
2017-08-12,500,0.13771399999999998,0.04236999999999999
2017-08-13,500,0.12521799999999988,0.047681999999999995
2017-08-14,500,0.10358200000000001,0.028066000000000004
2017-08-15,500,0.12988000000000008,0.031998
2017-08-16,519,0.1504547206165703,0.033895953757225435
2017-08-17,519,0.10358766859344896,0.023658959537572254
2017-08-18,500,0.11528399999999996,0.06063399999999997
2017-08-19,514,0.12671595330739296,0.04324902723735407
2017-08-20,517,0.13406963249516446,0.04516054158607351
2017-08-21,514,0.11147276264591441,0.04147859922178988
2017-08-22,515,0.08933592233009707,0.038959223300970874
2017-08-23,519,0.131776493256262,0.03537957610789982
2017-08-24,519,0.10745472061657042,0.0353680154142582
2017-08-25,500,0.130488,0.03631800000000001
2017-08-26,518,0.1475000000000002,0.028727799227799236
2017-08-27,510,0.1444745098039215,0.03364901960784313
2017-08-28,514,0.11880544747081713,0.03926653696498056
2017-08-29,500,0.12479200000000007,0.025245999999999987
2017-08-30,508,0.1557559055118111,0.05233858267716537
2017-08-31,518,0.11755019305019317,0.03960231660231658
2017-09-01,508,0.1533129921259843,0.05252755905511812
2017-09-02,512,0.12684179687500002,0.033431640624999995
